codigo_oc,fecha,mes,organismo,region,rubro,proveedor,monto
548849-65-SE24,2025-01-10,1,INSTITUTO DE PREVISION SOCIAL,Region de Arica y Parinacota,"Servicios de defensa nacional, orden público y seguridad",GEISER SEGURIDAD SPA,81820008
1098710-530-SE24,2025-01-10,1,"SUBSECRETARIA DE CIENCIA, TECNOLOGIA, CONOCIMIENTO E INNOVACION",Region Metropolitana de Santiago,"Servicios profesionales, administrativos y consultorías de gestión empresarial",BROWSE INGENIERIA DE SOFTWARE SOCIEDAD ANONIMA,20337546
4291-56-SE25,2025-01-10,1,UNIVERSIDAD DE ANTOFAGASTA,Region de Antofagasta,"Equipos, suministros y accesorios deportivos y recreativos",IDEF CHILE SPA,3819528
1403-4-SE25,2025-01-10,1,DIRECCION GENERAL DE GENDARMERIA DE CHIL,Region Aysen del General Carlos IbaNez del Campo,"Alimentos, bebidas y tabaco",VIVIANA VALDEBENITO ROMERO E.I.R.L.,913760
1403-4-SE25,2025-01-10,1,DIRECCION GENERAL DE GENDARMERIA DE CHIL,Region Aysen del General Carlos IbaNez del Campo,"Alimentos, bebidas y tabaco",VIVIANA VALDEBENITO ROMERO E.I.R.L.,913760
4291-56-SE25,2025-01-10,1,UNIVERSIDAD DE ANTOFAGASTA,Region de Antofagasta,Equipamiento y suministros médicos,IDEF CHILE SPA,3819528
5209-24-SE25,2025-01-12,1,UNIVERSIDAD DE CHILE,Region Metropolitana de Santiago,Medicamentos y productos farmacéuticos,JOHNSON Y JOHNSON DE CHILE S A,990000
1965-855-SE24,2025-01-13,1,DIRECCION GENERAL DE GENDARMERIA DE CHIL,Region de Magallanes y de la Antartica,"Servicios de Viajes, alimentación, alojamiento y entretenimiento",JOSE FRANCISCO OLIVA ABURTO,1360504
623-26-SE25,2025-01-13,1,SUBSECRETARIA DEL INTERIOR,Region Metropolitana de Santiago,"Servicios de transporte, almacenaje y correo",DOCUSTORE SPA,1191244
2013-2121-SE24,2025-01-13,1,UNIVERSIDAD ARTURO PRAT,Region de Tarapaca,Servicios de construcción y mantenimiento,meindus,5042017
1403-10-SE25,2025-01-13,1,DIRECCION GENERAL DE GENDARMERIA DE CHIL,Region Aysen del General Carlos IbaNez del Campo,"Alimentos, bebidas y tabaco",PAMELA ANDREA QUILODRAN CASTILLO,661474
5416-74-SE25,2025-01-13,1,UNIVERSIDAD DE LA SERENA,Region de Coquimbo,"Servicios de transporte, almacenaje y correo",TURISMO KAYLU DE LA COSTA LIMITADA,841450
1410-22-SE25,2025-01-13,1,DIRECCION GENERAL DE GENDARMERIA DE CHIL,Region de Antofagasta,"Alimentos, bebidas y tabaco",LUKAS FRUT SPA,865200
867990-59-SE25,2025-01-13,1,UNIVERSIDAD DE SANTIAGO DE CHILE,Region Metropolitana de Santiago,"Muebles, accesorios, electrodomésticos y productos electrónicos",OMA SPA,1735783
1196-7-SE25,2025-01-13,1,INSTITUTO NACIONAL DE DEPORTES DE CHILE,Region de Tarapaca,"Servicios de Viajes, alimentación, alojamiento y entretenimiento",COMERCIAL IMPORTAORA Y EXPORTADORA SANTA CUZ SPA,1116000
1196-8-SE25,2025-01-13,1,INSTITUTO NACIONAL DE DEPORTES DE CHILE,Region de Tarapaca,"Servicios profesionales, administrativos y consultorías de gestión empresarial",GRUPO VIGOR SPA,2898810
5423-9-SE25,2025-01-13,1,UNIVERSIDAD DE LOS LAGOS,Region de los Lagos,Muebles y mobiliario,COMERCIAL INTERMEDICA LIMITADA,861100
1111089-645-SE24,2025-01-13,1,Comisión Nacional de Investigación Científica y Tecnológicas - CONICYT,Region Metropolitana de Santiago,"Servicios profesionales, administrativos y consultorías de gestión empresarial",ABENIS CONSULTORES SPA,164661407
